Super_Built_up_Area,Area,Carpet_Area,Floor_Number,Parking,Furnishing,Location,Bathrooms,Bedrooms,Balconies,Price
1400,1350,945,11,1,2,Andheri East,2,3,3,270
1049,,632,4,1,1,Andheri East,2,2,0,165
1318,,,20,,2,Andheri East,2,2,0,205
1540,1480,1010,9,1,2,Andheri East,3,3,3,285
1020,,618,1,1,2,Andheri East,2,2,0,180
1749,1700,1166,8,1,2,Andheri East,3,3,2,285
1740,1600,1165,11,1,1,Andheri East,3,3,3,355
,,730,9,1,,Andheri East,2,2,0,195
,2600,1550,,1,2,Andheri East,3,3,0,600
1500,,1100,6,1,,Andheri East,3,3,0,250
902,,,2,1,1,Andheri East,2,2,0,155
,1400,933,1,1,,Andheri East,3,3,2,281
,,816,4,1,,Andheri East,2,2,3,227
1371,997,831,4,1,2,Andheri East,2,2,1,208
1284,1250,860,7,1,0,Andheri East,2,3,1,198
1001,1000,,6,1,2,Andheri East,2,2,0,135
900,870,630,5,1,2,Andheri East,2,2,1,150
,1491,1065,,1,1,Andheri East,3,3,1,220
1590,,1000,7,1,2,Andheri East,3,3,1,280
1125,1000,786,6,1,1,Andheri East,2,2,3,225
1350,1300,799,3,,,Andheri East,2,2,0,200
1500,1480,1009,11,1,2,Andheri East,3,3,3,291
,,800,10,1,,Andheri East,2,2,0,177
532,,401,6,1,,Andheri East,1,1,0,88
,,666,3,1,2,Andheri East,2,2,0,147
902,,,3,1,2,Andheri East,2,2,1,156
2000,1500,1000,4,1,,Andheri East,3,3,0,400
1000,,725,10,1,2,Andheri East,2,2,0,160
1690,,1124,2,1,1,Andheri East,3,3,0,333
1130,,653,3,1,2,Andheri East,2,2,2,157
890,790,667,6,1,2,Andheri East,2,2,0,180
1452,1400,927,10,1,2,Andheri East,3,3,0,240
1820,1600,1100,9,1,1,Andheri East,4,3,1,350
1125,1000,780,7,1,1,Andheri East,2,2,3,220
,,1073.33,10,2,2,Andheri East,3,3,0,315
1720,1620,1038,9,1,2,Andheri East,3,3,1,269
698,,697,16,1,,Andheri East,2,2,1,175
,,670,1,1,,Andheri East,2,2,0,135
500,400,320,6,2,2,Andheri East,1,1,2,75
1050,950,640,8,1,2,Andheri East,2,2,1,169
930,,655,3,1,,Andheri East,2,2,0,160
1026,,,5,1,1,Andheri East,2,2,1,200
1200,1150,815,2,1,,Andheri East,2,2,3,223
,1450,985,14,1,0,Andheri East,2,3,2,300
1980,1300,1200,5,1,1,Andheri East,3,3,2,340
1285,,800,10,1,2,Andheri East,2,2,3,220
1530,1310,1253,15,2,2,Andheri East,3,3,1,300
1800,1600,1400,10,2,1,Andheri East,3,3,3,325
992,991,687,7,1,,Andheri East,2,2,0,199
1025,,679,2,1,1,Andheri East,2,2,0,215
928,,927,15,1,,Andheri East,3,3,1,240
1089,1050,658,7,1,2,Andheri East,2,2,0,180
1400,,850,8,,,Andheri East,3,3,0,185
1000,,730,10,,2,Andheri East,2,2,1,180
980,850,,5,1,2,Andheri East,2,2,0,135
1350,1316,823,12,1,2,Andheri East,2,2,1,230
1200,1000,800,4,1,,Andheri East,2,2,0,260
2250,1800,1600,15,2,1,Andheri East,4,4,3,500
,1040,,5,1,0,Andheri East,2,2,3,195
1452,1446,904,12,2,2,Andheri East,3,3,0,304
525,,,1,,,Andheri East,1,1,0,85
797,750,503,6,1,1,Andheri East,1,2,0,127
475,,,1,1,2,Andheri East,1,1,0,85
1150,,697,7,2,2,Andheri East,2,2,0,185
,,679,14,1,2,Andheri East,2,2,0,215
992,,625,4,1,2,Andheri East,2,2,1,165
900,741,623,4,1,0,Andheri East,2,2,1,185
1810,,1150,3,2,1,Andheri East,3,3,1,350
1378,1150,927,10,1,1,Andheri East,3,3,0,230
,850,,1,2,2,Andheri East,1,2,2,150
,,1300,10,,,Andheri East,3,3,0,425
987,,620,10,1,,Andheri East,2,2,0,145
1740,1400,1150,10,1,1,Andheri East,3,3,1,350
,1335,945,22,1,2,Andheri East,3,3,2,305
,,731,22,1,2,Andheri East,2,2,0,195
1467,,880,4,1,1,Andheri East,3,3,0,250
900,,,3,1,,Andheri East,2,2,1,185
1520,,915,5,1,1,Andheri East,3,3,0,260
,1175,,3,1,2,Andheri East,2,2,1,245
,1129,753,1,1,2,Andheri East,2,2,2,241
1455,,1170,5,2,2,Andheri East,3,3,1,315
1090,990,660,7,1,1,Andheri East,2,2,1,143
1250,1200,985,4,1,1,Andheri East,2,3,1,250
901,900,,3,1,,Andheri East,2,2,0,136
525,475,370,4,1,,Andheri East,2,1,0,111
1343,,820,12,1,0,Andheri East,2,2,0,245
1452,1300,884,11,1,2,Andheri East,3,3,0,240
1026,,789,7,1,1,Andheri East,2,2,1,210
992,988,618,11,1,2,Andheri East,2,2,0,215
1089,780,698,16,1,2,Andheri East,2,2,2,175
1832,,1110,6,2,2,Andheri East,3,3,0,415
1200,1100,1000,2,1,1,Andheri East,2,3,1,240
1207,1180,844,6,1,0,Andheri East,2,3,1,198
992,,625,9,1,2,Andheri East,2,2,0,200
640,,,12,1,1,Andheri East,2,1,0,95
,,650,9,1,2,Andheri East,2,2,0,155
1378,,927,10,1,1,Andheri East,3,3,1,225
,,785,7,1,2,Andheri East,2,2,0,170
1500,1300,1100,4,1,2,Andheri East,2,3,0,400
1251,1250,,6,1,1,Andheri East,2,2,1,235
800,,490,5,1,2,Andheri East,2,1,0,115
1026,,855,6,1,2,Andheri East,2,2,1,220
1518,1505,1100,17,1,,Andheri East,3,3,1,287
,1332,834,5,1,1,Andheri East,2,2,1,208
,1800,1200,,1,,Andheri East,3,3,0,345
1298,,891,5,1,2,Andheri East,2,2,1,192
1980,1584,1200,8,1,2,Andheri East,3,3,1,355
1980,1440,1200,7,1,2,Andheri East,3,3,1,350
1290,,,5,1,1,Andheri East,2,2,1,240
1150,1025,950,10,2,,Andheri East,2,2,0,160
1541,1250,1051,3,1,,Andheri East,3,3,1,290
1200,950,801,7,1,1,Andheri East,2,2,0,253
1206,1205,731,14,1,2,Andheri East,3,2,0,185
1452,1250,927,14,1,,Andheri East,3,3,3,260
,,618,3,1,2,Andheri East,2,2,0,165
900,,,6,,1,Andheri East,2,2,0,170
1578,1438,1083,9,1,1,Andheri East,3,3,1,243
1500,1400,1151,10,1,2,Andheri East,3,3,1,280
,,1003,21,2,2,Andheri East,3,3,0,249
1973,,1518,7,1,2,Andheri East,3,3,1,310
1800,,1260,6,2,2,Andheri East,3,3,0,325
1746,1182,978,7,1,2,Andheri East,3,3,3,291
,230,180,1,1,,Andheri East,1,1,0,45
683,550,452,9,1,2,Andheri East,2,1,3,121
683,550,441,11,1,2,Andheri East,2,1,3,122
,5220,3600,1,2,2,Andheri East,4,5,0,890
1067,1065,1010,4,2,2,Andheri East,3,3,0,260
,,598,11,1,,Andheri East,2,2,0,168
,,785,2,1,1,Andheri East,2,1,0,165
1285,1150,873,9,1,2,Andheri East,2,2,2,220
1205,,730,13,1,1,Andheri East,2,2,0,225
992,900,657,11,1,2,Andheri East,2,2,0,175
,,440,6,1,2,Andheri East,2,1,0,122
532,,401,6,1,1,Andheri East,1,1,0,85
1230,,,8,1,2,Andheri East,2,2,3,230
1298,,892,7,1,2,Andheri East,2,2,1,220
630,624,618,2,1,2,Andheri East,2,2,1,165
,,1099,5,2,2,Andheri East,2,3,1,313
1025,,638,3,1,2,Andheri East,2,2,3,153
993,,492,12,1,2,Andheri East,2,2,2,164
665,555,470,13,1,0,Andheri East,2,1,0,130
700,690,445,9,1,2,Andheri East,2,1,0,125
1263,999,852,9,1,2,Andheri East,2,2,1,220
1170,,731,8,1,,Andheri East,2,2,1,175
992,,625,3,1,2,Andheri East,2,2,0,155
,,577,2,1,1,Andheri East,2,2,0,135
1600,1500,1300,5,2,0,Andheri East,3,3,0,400
1049,,,4,1,1,Andheri East,2,2,1,175
,1263,860,11,1,2,Andheri East,2,2,1,205
1000,,,2,1,1,Andheri East,2,2,0,220
591,495,358,1,,2,Andheri East,2,1,0,105
1000,890,650,4,1,,Andheri East,2,2,1,175
,,625,3,1,1,Andheri East,2,2,0,180
1200,,,4,1,1,Andheri East,2,2,1,210
1025,960,668,9,1,2,Andheri East,2,2,0,215
,,1166,7,1,2,Andheri East,3,3,2,360
,1000,,10,1,2,Andheri East,2,2,0,225
1113,1112,674,4,1,1,Andheri East,2,2,0,145
,,741,4,1,1,Andheri East,2,2,1,211
,,1142,8,1,1,Andheri East,3,3,1,330
1690,1680,1185,14,2,2,Andheri East,3,3,0,375
,,948,4,1,1,Andheri East,2,3,0,199
,,1518,5,2,2,Andheri East,3,4,1,424
1485,1200,1050,2,1,1,Andheri East,3,3,1,290
629,,416,15,1,,Andheri East,2,1,0,116
650,520,416,2,1,1,Andheri East,1,1,1,97
,,1200,17,1,0,Andheri East,3,4,3,500
,,653,6,1,2,Andheri East,2,2,0,187
920,914,908,2,1,2,Andheri East,3,3,2,239
2470,2000,1700,17,2,1,Andheri East,4,6,0,600
1100,1000,786,15,1,0,Andheri East,2,2,3,245
,350,,2,1,2,Andheri East,1,1,0,75
1089,,635,5,1,2,Andheri East,2,2,0,170
1200,1000,800,10,1,2,Andheri East,2,2,0,250
,,890,4,1,2,Andheri East,3,3,3,199
1072,1070,670,13,1,2,Andheri East,3,2,0,215
701,,425,4,,1,Andheri East,2,1,0,119
1590,,1000,7,1,2,Andheri East,2,2,1,281
,,840,4,1,1,Andheri East,2,2,2,245
1117,1050,698,11,1,2,Andheri East,2,2,0,175
,,825,9,1,1,Andheri East,2,2,2,275
495,490,300,2,,2,Andheri East,2,1,0,88
1250,1100,852,16,1,2,Andheri East,2,2,3,195
1200,1000,800,10,1,2,Andheri East,2,2,0,253
1650,1640,1003,15,1,2,Andheri East,3,3,0,249
1089,850,697,7,1,2,Andheri East,2,2,3,175
1300,1100,850,14,1,1,Andheri East,2,2,1,250
1200,1000,990,6,1,2,Andheri East,2,2,3,170
1585,1480,1058,8,1,1,Andheri East,3,3,0,255
1020,988,618,1,1,2,Andheri East,2,2,0,169
1050,,815,10,1,2,Andheri East,2,2,0,250
900,,641,7,1,1,Andheri East,2,2,3,170
1117,,698,5,1,1,Andheri East,2,2,0,175
1292,,861,8,1,2,Andheri East,2,2,0,191
1980,1400,1200,7,1,1,Andheri East,3,3,3,325
711,,445,7,1,1,Andheri East,2,1,0,120
538,490,326,3,1,2,Andheri East,2,1,0,95
2400,,,11,2,2,Andheri East,4,6,3,600
,,650,5,1,,Andheri East,2,2,0,210
,,600,10,1,,Andheri East,2,2,0,175
1125,950,780,10,1,1,Andheri East,2,2,3,219
,,660,9,1,2,Andheri East,2,2,0,154
,,1233,10,1,1,Andheri East,3,4,0,333
716,680,435,9,1,2,Andheri East,2,1,0,125
1250,1214,830,8,1,1,Andheri East,2,3,2,197
1200,1100,803,10,1,2,Andheri East,2,2,0,252
683,550,440,6,1,2,Andheri East,2,1,0,125
1568,,950,10,2,2,Andheri East,3,3,0,249
,,855,17,1,1,Andheri East,2,2,0,275
,600,430,4,1,1,Andheri East,2,1,1,150
1180,,715,6,1,,Andheri East,2,2,3,145
1025,,650,13,1,2,Andheri East,2,2,1,215
1550,1540,1020,10,1,2,Andheri East,3,3,3,270
750,700,630,5,1,1,Andheri East,1,2,0,165
683,,,9,1,2,Andheri East,2,1,0,130
,2020,1154,5,1,2,Andheri East,3,3,2,372
,1100,825,3,1,0,Andheri East,2,2,2,180
3200,3000,,8,1,2,Andheri East,4,4,3,650
1298,,861,6,1,,Andheri East,2,2,1,217
1671,1670,1031,10,1,2,Andheri East,3,3,2,242
1430,,,9,2,,Andheri East,3,3,1,290
1350,,850,6,1,1,Andheri East,2,3,0,197
1200,,,6,1,2,Andheri East,2,3,2,282
1000,,,3,1,1,Andheri East,2,2,0,170
1980,1440,1205,3,1,2,Andheri East,3,3,1,345
,1600,1100,13,1,2,Andheri East,3,3,0,300
1655,1600,1050,11,1,,Andheri East,3,3,1,290
783,782,780,6,1,2,Andheri East,2,2,2,218
,,936,5,1,1,Andheri East,3,3,2,350
,,618,5,1,,Andheri East,2,2,0,165
753,750,471,10,1,2,Andheri East,2,1,0,160
,,639,7,1,2,Andheri East,2,2,0,175
1600,,1130,12,1,2,Andheri East,3,3,0,325
833,830,522,7,1,2,Andheri East,2,2,0,140
1980,,1200,10,1,2,Andheri East,3,3,1,330
1900,,1500,17,2,,Andheri East,2,2,3,250
970,950,,4,1,1,Andheri East,2,2,0,155
,,925,19,1,1,Andheri East,2,2,0,300
850,750,646,11,2,2,Andheri East,2,2,0,200
1610,1510,1250,2,1,1,Andheri East,3,3,1,235
1377,987,947,9,1,,Andheri East,2,3,2,295
1400,1200,1056,4,2,2,Andheri East,2,2,1,290
2100,1850,1400,2,1,,Andheri East,2,3,1,425
1180,,750,7,1,0,Andheri East,2,2,1,155
900,,680,5,1,2,Andheri East,2,2,0,152
1350,1100,839,10,1,,Andheri East,2,2,1,222
710,,,1,1,1,Andheri East,2,1,1,105
,,430,4,,2,Andheri East,2,1,0,121
1036,1030,648,15,1,2,Andheri East,3,2,0,170
1310,1048,795,8,1,2,Andheri East,2,2,1,195
1050,,750,5,1,0,Andheri East,2,2,1,165
1263,1050,825,10,1,1,Andheri East,2,2,1,190
1205,,816,7,1,1,Andheri East,2,2,1,185
987,825,750,4,1,,Andheri East,2,2,0,160
783,782,780,6,1,2,Andheri East,2,2,2,218
1350,1025,854,21,1,2,Andheri East,2,2,1,250
970,,610,7,1,2,Andheri East,2,2,0,150
1205,,825,20,1,2,Andheri East,2,2,1,225
1285,1200,800,9,1,1,Andheri East,2,2,1,220
1050,,,7,1,2,Andheri East,2,2,0,160
,,492,12,1,1,Andheri East,2,2,0,140
1125,950,780,10,1,,Andheri East,2,2,3,217
700,600,472,8,1,2,Andheri East,2,1,0,142
950,840,750,3,1,1,Andheri East,2,2,0,155
5220,,3600,10,2,2,Andheri East,4,5,0,885
,,650,7,1,2,Andheri East,2,2,0,155
1244,,400,10,1,0,Andheri East,2,3,0,300
1263,1230,860,8,1,1,Andheri East,2,2,1,185
560,500,475,2,1,,Andheri East,2,1,0,125
,,625,7,1,1,Andheri East,2,2,0,150
,600,,1,2,2,Andheri East,2,1,3,95
1000,996,710,3,1,1,Andheri East,2,2,1,172
1200,,820,5,1,1,Andheri East,2,2,0,226
302,,,7,,2,Andheri East,1,1,1,100
,,730,7,1,,Andheri East,2,2,0,135
,1500,,6,1,,Andheri East,4,4,1,375
1075,990,720,6,2,0,Andheri East,2,2,2,260
1015,815,705,4,1,,Andheri East,2,2,1,218
,,,,,,Andheri East,5,5,2,2222
1026,950,820,5,1,2,Andheri East,2,2,1,250
,1690,1025,10,1,1,Andheri East,2,3,1,300
650,575,,4,1,2,Andheri East,1,1,0,90
683,,,3,1,,Andheri East,2,1,0,122
600,,450,1,1,1,Andheri East,2,1,0,97
,,522,6,1,2,Andheri East,2,2,0,145
,1005,666,9,1,2,Andheri East,2,2,0,156
700,600,450,10,1,2,Andheri East,2,1,0,111
1375,,860,7,1,2,Andheri East,2,2,0,180
816,806,504,11,1,2,Andheri East,2,1,0,150
,,585,3,1,2,Andheri East,2,1,0,120
1750,1500,1050,11,1,1,Andheri East,3,3,2,315
550,,,5,,0,Andheri East,1,1,0,105
850,775,646,10,2,2,Andheri East,2,2,0,215
646,630,610,9,2,2,Andheri East,2,2,0,250
1648,,999,11,1,2,Andheri East,3,3,1,290
585,500,425,5,1,,Andheri East,1,1,0,98
1980,1250,1200,20,2,1,Andheri East,3,3,2,360
1292,,802,14,2,2,Andheri East,2,2,2,220
,1300,,3,1,,Andheri East,3,3,2,265
900,,633,5,1,1,Andheri East,2,2,1,141
1450,1330,1200,12,2,2,Andheri East,3,3,1,333
872,835,790,4,2,0,Andheri East,2,2,0,160
595,474,350,6,1,2,Andheri East,2,1,0,111
1130,,780,11,1,1,Andheri East,2,2,1,165
1000,,800,10,1,,Andheri East,2,2,3,180
1560,1370,987,8,1,1,Andheri East,3,3,2,237
1298,,860,3,1,1,Andheri East,2,2,1,220
699,680,425,10,1,2,Andheri East,1,1,0,139
987,,620,10,1,2,Andheri East,2,2,0,147
1312,1310,820,10,1,2,Andheri East,3,2,0,185
2300,2150,1550,17,2,2,Andheri East,3,4,1,392
700,,441,5,1,,Andheri East,2,1,0,125
,1080,,5,1,,Andheri East,2,2,1,210
1150,1090,800,5,1,1,Andheri East,2,2,1,165
683,650,455,12,1,,Andheri East,2,1,2,121
,,510,3,1,2,Andheri East,1,1,0,125
850,780,600,,1,0,Andheri East,2,2,0,152
710,650,415,4,1,,Andheri East,2,1,1,115
580,550,465,6,2,1,Andheri East,1,1,0,105
650,600,455,4,2,,Andheri East,2,1,0,110
875,750,600,3,1,0,Andheri East,2,2,1,158
941,,,3,,,Andheri East,2,2,0,156
,,680,13,1,1,Andheri East,2,2,0,215
665,,,1,1,1,Andheri East,2,1,0,157
760,,450,1,1,2,Andheri East,2,1,1,157
1375,1200,810,7,1,,Andheri East,2,2,1,180
,,921,8,1,1,Andheri East,3,3,1,260
1315,,1050,3,1,,Andheri East,3,3,3,250
1300,1100,681,4,1,,Andheri East,2,2,3,165
1100,950,650,4,1,,Andheri East,2,2,3,165
1378,,900,11,1,2,Andheri East,3,3,3,248
900,750,623,4,1,0,Andheri East,2,2,1,160
550,,450,5,1,,Andheri East,1,1,0,90
680,,430,7,1,2,Andheri East,2,1,0,110
985,810,705,3,1,,Andheri East,2,2,1,235
725,,460,2,1,1,Andheri East,2,1,1,135
1050,,,3,1,1,Andheri East,2,2,0,175
725,,464,9,1,2,Andheri East,2,1,1,139
1560,1500,1087,11,1,1,Andheri East,3,3,1,257
650,575,500,3,1,2,Andheri East,2,1,0,95
650,550,460,11,,1,Andheri East,2,1,1,120
,900,633,5,1,2,Andheri East,2,2,1,143
,1350,847,2,2,,Andheri East,2,2,1,210
1010,1009,609,8,1,2,Andheri East,3,2,0,170
,,425,6,1,1,Andheri East,2,1,0,110
1450,1235,1130,8,2,2,Andheri East,3,3,1,275
1050,,,8,,1,Andheri East,2,2,1,179
445,443,317,5,1,2,Andheri East,2,2,0,78
,600,500,5,1,,Andheri East,1,1,1,110
532,,400,3,1,,Andheri East,1,1,0,86
,,825,11,1,2,Andheri East,2,2,0,196
532,,400,6,1,1,Andheri East,1,1,0,90
550,,450,5,1,,Andheri East,1,1,0,105
,,855,4,1,2,Andheri East,2,2,2,211
1000,900,724,1,,0,Andheri East,1,2,0,155
,,1050,3,1,,Andheri East,3,3,3,265
,,795,6,1,2,Andheri East,2,2,0,189
680,,480,5,,,Andheri East,2,1,0,110
490,475,465,2,2,2,Andheri East,2,1,3,120
650,600,550,6,1,1,Andheri East,2,1,0,110
701,685,430,6,2,2,Andheri East,2,1,0,115
,,825,2,1,2,Andheri East,2,2,1,190
985,735,585,4,1,1,Andheri East,2,2,1,141
,,2075,21,1,,Andheri East,4,4,0,830
590,500,430,5,,2,Andheri East,2,1,1,109
,,584,9,1,1,Andheri East,2,2,1,135
,1500,952,16,2,2,Andheri East,3,3,3,315
875,874,495,5,1,,Andheri East,2,2,0,140
,500,,3,2,2,Andheri East,1,1,0,110
520,,,6,1,,Andheri East,1,1,0,85
850,800,,2,1,2,Andheri East,2,2,0,135
,,700,4,1,,Andheri East,2,2,0,140
475,,400,1,1,,Andheri East,1,1,0,91
1120,1030,860,3,1,2,Andheri East,2,2,1,140
675,,,,1,,Andheri East,1,1,0,115
,,1099,14,1,1,Andheri East,2,3,1,280
,,429,1,1,1,Andheri East,2,1,0,95
,,500,5,1,,Andheri East,1,1,3,165
550,,450,1,1,,Andheri East,1,1,0,95
600,,450,6,1,,Andheri East,2,1,0,93
690,,415,5,1,1,Andheri East,2,1,0,115
826,,485,15,1,,Andheri East,2,1,0,130
800,,508,3,1,,Andheri East,2,1,0,136
700,580,500,2,,2,Andheri East,2,1,0,100
1200,,810,3,1,1,Andheri East,2,2,2,165
,1498,936.12,8,1,0,Andheri East,3,3,0,340
,,470,2,,,Andheri East,1,1,0,130
,,855,4,1,1,Andheri East,2,2,2,210
,800,600,,1,0,Andheri East,2,2,0,160
532,,400,6,1,1,Andheri East,1,1,0,88
590,,426,3,1,,Andheri East,1,1,0,90
525,,,3,1,,Andheri East,1,1,1,93
700,650,550,12,1,,Andheri East,2,1,0,100
816,812,508,7,1,2,Andheri East,2,1,0,115
,,1360,6,1,,Andheri East,4,4,3,375
660,600,500,3,1,1,Andheri East,2,1,2,110
711,700,431,9,1,2,Andheri East,2,1,0,103
1025,,825,11,1,2,Andheri East,2,2,2,265
800,675,550,3,1,2,Andheri East,1,1,0,115
749,,,5,1,0,Andheri East,2,1,1,135
692,,428,9,1,,Andheri East,2,1,0,110
668,484,440,9,2,,Andheri East,1,1,0,125
1000,,,6,1,2,Andheri East,2,2,0,133
659,,,4,1,1,Andheri East,2,1,0,105
,,827,10,1,,Andheri East,2,2,0,246
,,884,12,1,,Andheri East,3,3,0,280
1263,,666,7,1,2,Andheri East,2,2,1,180
2075,,1258,13,1,,Andheri East,3,4,0,320
,1384,865,5,1,0,Andheri East,2,2,0,235
,,1361,6,1,,Andheri East,4,4,0,375
,,1000,3,1,,Andheri East,3,3,3,265
,,480,8,1,1,Andheri East,2,2,1,124
701,685,428,5,1,1,Andheri East,2,1,0,111
,,800,6,1,,Andheri East,3,3,0,195
,,1600,21,1,,Andheri East,4,4,0,520
655,640,434,7,1,1,Andheri East,2,1,1,109
,,500,7,,2,Andheri East,2,2,3,124
670,650,395,2,,2,Andheri East,1,1,0,110
743,593,510,5,2,0,Andheri East,2,2,1,180
532,,400,5,1,1,Andheri East,1,1,0,89
,,820,4,1,1,Andheri East,2,2,1,210
,,750,4,,,Andheri East,1,1,0,115
,800,650,4,2,2,Andheri East,2,2,2,230
,832,530,8,,,Andheri East,1,1,0,127
,580,,3,1,0,Andheri East,1,1,0,160
632,,,6,1,2,Andheri East,2,2,0,157
,940,,2,1,1,Andheri East,2,2,0,175
1150,,749,9,1,2,Andheri East,2,2,1,250
660,600,500,3,1,1,Andheri East,2,1,2,110
950,,775,2,1,,Andheri East,2,2,1,295
,,761,2,2,,Andheri East,2,2,0,260
1263,,799,12,1,2,Andheri East,2,2,1,210
1263,,799,11,1,1,Andheri East,2,2,1,212
,1350,950,5,1,0,Andheri East,3,3,0,300
1230,,838,4,1,,Andheri East,2,2,1,225
701,695,430,6,1,1,Andheri East,2,1,0,112
1000,980,650,8,1,1,Andheri East,2,2,1,162
900,,650,3,1,0,Andheri East,2,2,0,160
,520,400,5,1,,Andheri East,1,1,0,86
500,450,425,8,1,1,Andheri East,2,1,1,110
650,600,500,2,1,2,Andheri East,2,1,1,125
1800,,,4,2,0,Andheri East,4,4,2,330
1050,,650,2,1,0,Andheri East,2,2,2,160
550,,,5,,2,Andheri East,1,1,0,125
,,796,5,1,2,Andheri East,2,2,0,189
,1000,700,1,1,2,Andheri East,2,2,0,250
,1295,795,6,1,2,Andheri East,2,2,0,200
900,,613,4,1,,Andheri East,2,1,1,145
1090,980,600,4,1,,Andheri East,2,2,2,160
,,796,3,1,2,Andheri East,2,2,1,189
1000,,665,1,1,2,Andheri East,2,2,0,165
1200,1100,950,4,1,2,Andheri East,2,2,2,245
900,850,710,5,1,1,Andheri East,2,2,1,245
,,1150,5,1,,Andheri East,3,3,0,300
2650,2000,1685,3,2,1,Andheri East,4,4,1,470
1800,,1226,5,1,,Andheri East,3,3,1,300
,,474,10,1,,Andheri East,2,1,0,116
750,560,400,4,1,1,Andheri East,1,1,0,104
,1000,,5,1,0,Andheri East,2,2,0,145
690,,415,4,1,2,Andheri East,2,1,0,115
2200,2000,1510,11,2,0,Andheri East,5,4,0,550
,,335,9,1,1,Andheri East,1,1,1,87
1125,,725,12,1,2,Andheri East,2,2,0,170
,,603,11,1,2,Andheri East,2,2,2,148
,,240,4,2,0,Andheri East,1,1,0,55
1341,1100,840,5,1,,Andheri East,3,3,1,230
,,365,7,,2,Andheri East,1,1,0,80.9
,1050,,2,1,,Andheri East,2,2,3,200
,,398,10,1,1,Andheri East,2,1,0,98
665,,435,8,1,2,Andheri East,2,1,0,135
,,850,5,1,2,Andheri East,2,2,0,160
1400,,,6,1,0,Andheri East,2,2,1,195
